Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT L,Сумки с короткими ручками,MARC JACOBS,Экзотическая кожа,Серебряный,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,52000
INT S,Клатчи и вечерние сумки,VERSACE,Кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,38000
INT M,Сумки через плечо,BALENCIAGA,Кожа,Желтый,Длинный ремень,0,Новое с биркой,Crush,0,0,0,Люксовые,Произведенные на фабрике,1,345000
INT U,Сумки с короткими ручками,BURBERRY,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,27000
INT M,Сумки с короткими ручками,KARL LAGERFELD,Искусственная кожа,Мульти,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17950
INT U,Клатчи и вечерние сумки,BVLGARI,Экзотическая кожа,Коралловый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Произведенные на фабрике,0,2800000
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15150
INT XS,Сумки через плечо,MARC JACOBS,Кожа,Золотой,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,13600
INT XS,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Коричневый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,690000
INT XS,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,690000
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15150
INT M,Сумки тоут,GOYARD,Искусственная кожа,Синий,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,180000
INT M,Сумки с короткими ручками,SAINT LAURENT,Другое,Коричневый,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,175000
INT U,Сумки через плечо,GOYARD,Кожа,Мульти,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,350000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,385000
INT U,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,429000
INT S,Сумки через плечо,LOVE MOSCHINO,Кожа,Бирюзовый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17000
INT L,Сумки через плечо,MARC JACOBS,Кожа,Белый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,30000
INT XL,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,175000
INT U,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,105890
INT S,Сумки через плечо,BURBERRY,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,170000
INT U,Сумки через плечо,A.P.C.,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,1,Дорогие,Произведенные на фабрике,0,52000
INT U,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,105890
INT S,Сумки через плечо,GUCCI,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,176000
INT S,Сумки через плечо,MICHAEL KORS,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,26900
INT S,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,185000
INT U,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,131000
INT S,Сумки через плечо,LOEWE,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,265000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Бежевый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,225000
INT XS,Сумки через плечо,BALENCIAGA,Другое,Зеленый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,105000
INT S,Сумки через плечо,BALMAIN,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,138000
INT S,Сумки с короткими ручками,DIESEL,Кожа,Золотой,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,39900
INT XS,Сумки через плечо,BOTTEGA VENETA,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,105000
